Aimag,Year,Mort_hor,Mort_cat,Mort_cam,Mort_sheep,Mort_goat,All_SFU,All,SPEI_PrevSummer,SPEI_PrevSummer_point,Temp_Winter,Temp_Winter_Z_study,Temp_Winter_Z_climate
Arkhangai,1992,0.03066528066528067,0.03350604490500864,0.1176470588235294,0.03244228432563791,0.02230106436898125,0.03204597263045247,0.047312346617687566,0.7141517478369422,0.7179628702242087,-18.00971959431964,0.5841643829109956,0.7264518157430623
Arkhangai,1993,0.05100379815518177,0.06713780918727916,0.08333333333333334,0.057321713514177,0.04795486600846263,0.059041605107706306,0.061350304039686776,1.136253576358482,1.1363513571099433,-18.741570677580636,0.16786622835509774,0.3237526540484883
Arkhangai,1994,0.008447729672650475,0.01126363956353397,0.1,0.02037697401935813,0.01148936170212766,0.012234319585327745,0.030315540991534044,2.1609286189657713,2.164550012396945,-18.570268117645618,0.265308100346175,0.41801144365714593
Arkhangai,1995,0.02469135802469136,0.03677869372225745,0.1,0.07179612839990199,0.04731638418079096,0.03987683110194747,0.05611651286552836,1.4773468933630978,1.4695702581533314,-19.283041899881223,-0.14013833123981198,0.025809517405728538
Arkhangai,1996,0.01387645478961504,0.01576911633442428,0.0,0.01754385964912281,0.01234166937317311,0.015198772323602686,0.011906220029267047,0.694140083110277,0.6913389670829913,-20.11508181536637,-0.6134268037934366,-0.43201828954280896
Arkhangai,1997,0.007089241034195162,0.007309149972929075,0.0,0.007258809555232941,0.006994963626189145,0.0072011666492579895,0.0057304328377092645,-0.38851249912134034,-0.3945311754035408,-16.487016305805703,1.450322244043089,1.5643153535844834
Arkhangai,1998,0.007521773555027712,0.01364087301587302,0.0,0.007676622286194075,0.00691403549204886,0.010229687883728703,0.007150660869828733,-0.13049951447520056,-0.12302257204078469,-17.67984270637416,0.771807938851969,0.9079657183339339
Arkhangai,1999,0.00662739322533137,0.007942069609904227,0.0,0.007547582585867425,0.006341656757827983,0.007322659162567142,0.005691740435786201,-0.0526257345145135,-0.04641121997875191,-16.77019555362652,1.2892416622517073,1.408496706437553
Arkhangai,2000,0.06004696410600469,0.0668103448275862,0.25,0.06431718061674009,0.05497097242380261,0.06339991364583528,0.09922909239482672,0.2616975258251739,0.2540068498553222,-20.144288126627583,-0.6300402020072532,-0.44808898661505303
Arkhangai,2001,0.2349066959385291,0.4122725151656556,0.125,0.2034823820317329,0.1834592005894271,0.30216328088353717,0.23182415874506895,-0.5743497832304212,-0.5638303246929061,-20.090407694121918,-0.5993914469096501,-0.41844141828039727
Arkhangai,2002,0.04937701892016613,0.04543815362423368,0.0,0.03583453583453584,0.03333987056285546,0.04371721488262732,0.032797915788358216,-0.37434162127665277,-0.36570052782240325,-17.998719278971333,0.5904216818120626,0.7325047107519777
Arkhangai,2003,0.07182599898836621,0.1128650355169692,0.0,0.05545454545454546,0.0582432176057674,0.08220481240020326,0.05967775951312966,-1.6286637156922146,-1.6232916506209625,-18.31086611335658,0.4128634953487341,0.560746724178462
Arkhangai,2004,0.01765316718587747,0.03421394543092248,0.0,0.01140590131415819,0.0103840448327015,0.021045399085025174,0.014731411752731929,0.15252516242928102,0.15195468044111407,-18.499156791781182,0.3057582880995086,0.4571402664020672
Arkhangai,2005,0.01202928870292887,0.01510574018126888,0.0,0.009058181395888978,0.0081374321880651,0.01187464800832371,0.008866128493630365,-0.665033843385928,-0.6692092202289465,-22.12670519793473,-1.7576966162985195,-1.5389088419157273
Arkhangai,2006,0.01388888888888889,0.0122432859399684,0.0,0.008471157724889069,0.009667593696199179,0.011519993676847385,0.008854185249989106,-0.39884150554979686,-0.37947151772419,-19.54246132933061,-0.287703638179735,-0.11693535126490684
Arkhangai,2007,0.01072124756335283,0.008173418621179816,0.0,0.005247763248451479,0.007606721162579474,0.008129553572833561,0.006349830119112719,0.4136144830665509,0.4147117559014,-15.4934851846577,2.0154716052831056,2.1110032778832686
Arkhangai,2008,0.01866181156121985,0.0148593107809042,0.0,0.01163390030189235,0.0167059748427673,0.015401740396664825,0.01237219949735674,-0.6133484781830248,-0.6129219176790931,-20.333809821988307,-0.7378456474476311,-0.5523728082699028
